4459,47
123745
въ;въ;R-;---------n;no distractor
лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃
҂ѕ҃;шесть тысячь;Ma;---------n;no distractor
т҃;трисъта;Ma;---------n;no distractor
ѯ҃;шестьдесятъ;Ma;---------n;no distractor
з҃;седмь;Ma;---------n;-s---fg--i:семые|-s---fa--i:седмъ|-s---mg--i:семї|-s---fi--i:семию|-s---ma--i:седмь
маху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли
дань;дань;Nb;-s---fa--i;-s---fg--i:дани|-p---fa--i:дани|-s---fd--i:дани|-s---fi--i:данью,данию|-p---fn--i:дани|-p---fg--i:данеи|-d---fn--i:дани|-p---fi--i:дан꙽ми,даньми
варѧзи;варягъ;Nb;-p---mn--i;-p---mg--i:варѧгъ|-p---ma--i:варѧги,вариги,варѧгы,вѧрѧгы|-p---md--i:варѧгомъ|-p---mi--i:варѧги,варѧгы|-d---mn--i:варѧга|-s---mn--i:варѧгъ|-d---ma--i:варѧга,варꙗга
изъ;из;R-;---------n;no distractor
заморья;заморие;Nb;-s---ng--i;no distractor
на;на;R-;---------n;no distractor
чюди;чудь;Ne;-s---fl--i;no distractor
и;и;C-;---------n;no distractor
на;на;R-;---------n;no distractor
словѣнех;словѣнинъ;Ne;-p---ml--i;no distractor
на;на;R-;---------n;no distractor
мери;меря;Ne;-s---fl--i;no distractor
и;и;C-;---------n;no distractor
на;на;R-;---------n;no distractor
всѣхъ;вьсь;Px;-p---ml--i;-p---ma--i:въсѧ,вьсꙗ,вьсѧ|-p---mn--i:вьси,в꙽си,вохи|-s---fd--i:вьсеи,все и|-p---na--i:вьсѧ,вьсꙗ|-s---na--i:вьсе,вохо|-p---fn--i:вси,всѣ,все|-s---fa--i:вьсю,въсю|-s---nn--i:вьсе|-s---fn--i:вьсꙗ,вьсѧ,в[сѧ|-p---mi--i:вьсѣми|-p---fa--i:вьсꙗ,вьсѣ,вьсѧ|-s---ma--i:весь,вьсь,весъ,въсь|-p---md--i:вьсѣмъ|-s---ni--i:вьсѣмь|-s---mn--i:весь,вьсь|-s---nl--i:вьсемь|-p---fd--i:вьсѣмъ|-p---nn--i:вьсꙗ,вьсѧ|-s---mg--i:вьсего|-p---ni--i:всѣми|-s---ng--i:вьсего|-s---md--i:въсемѹ,всѣмоу,всемоу,Всемоу|-s---fg--i:вьсеꙗ|-s---fl--i:всеи,всѣи,всей|-s---fi--i:вьсею|-s---nd--i:всему,всѧмѹ,всемѹ,всѣмѹ,всемꙋ|-s---mi--i:всѣмъ|-s---ml--i:вьсемь|-p---nd--i:вьсѣмъ|-p---fi--i:вьсѣми
кривичѣхъ;кривичи;Ne;-p---ml--i;no distractor
123750
а;а;C-;---------n;no distractor
козари;козаре;Ne;-p---mn--i;no distractor
имаху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли
на;на;R-;---------n;no distractor
полѧнѣх;полянинъ;Ne;-p---ml--i;no distractor
и;и;C-;---------n;no distractor
на;на;R-;---------n;no distractor
сѣверѣх;сѣверянинъ;Ne;-p---ml--i;no distractor
и;и;C-;---------n;no distractor
на;на;R-;---------n;no distractor
вѧтичѣхъ;вятичи;Ne;-p---ml--i;no distractor
123752
имаху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли
по;по;R-;---------n;no distractor
бѣлѣ;бѣла;Nb;-s---fd--i;-s---fi--i:бѣлью|-s---fa--i:белѹ|-s---fg--i:беле
и;и;C-;---------n;no distractor
вѣверицѣ;вѣверица;Nb;-s---fd--i;no distractor
ѿ;отъ;R-;---------n;no distractor
дыма;дымъ;Nb;-s---mg--i;-s---mn--i:дымъ|-s---md--i:дыму|-s---ma--i:дымъ
4460,47
123753
въ;въ;R-;---------n;no distractor
лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃
҂ѕ҃;шесть тысячь;Ma;---------n;no distractor
т҃;трисъта;Ma;---------n;no distractor
ѯ҃;шестьдесятъ;Ma;---------n;no distractor
и҃;осмь;Ma;---------n;no distractor
4461,47
123754
въ;въ;R-;---------n;no distractor
лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃
҂ѕ҃;шесть тысячь;Ma;---------n;no distractor
т҃;трисъта;Ma;---------n;no distractor
ѯ҃;шестьдесятъ;Ma;---------n;no distractor
ѳ҃;девять;Ma;---------n;no distractor
Изъгнаша;изгънати;V-;3paia----i;3ppia----i:ижденуть|3saia----i:игзнъа|-suppmn-si:изгнанъ|-sspamn-si:ꙇзгнал|-pspamn-si:ꙇзгнали|1spia----i:изъжденѹ
варѧги;варягъ;Nb;-p---ma--i;-p---mn--i:варѧзи|-p---mg--i:варѧгъ|-p---md--i:варѧгомъ|-d---mn--i:варѧга|-s---mn--i:варѧгъ|-d---ma--i:варѧга,варꙗга
за;за;R-;---------n;no distractor
море;море;Nb;-s---na--i;-s---ng--i:морїꙗ|-s---nd--i:морю|-s---ni--i:моремъ,моремь|-p---ng--i:морь|-p---na--i:морѧ|-s---ma--i:мъре
и;и;C-;---------n;no distractor
не;не;Df;---------n;no distractor
даша;дати;V-;3paia----i;3siia----i:дадѧшеть|3saia----i:дастъ,дасть|3spia----i:дасть,дастъ|3ppia----i:дадоуть|-sspamn-si:далъ|1spia----i:дамъ,дамь|2ppma----i:дадите|1saia----i:дахъ|--pna----i:да[т]и|2spma----i:даждь|3piia----i:дадѧху|3spma----i:дажь|1dpia----i:давѣ|-supamn-si:давъ|-supamg-wi:давъшаго,дав꙽шаго|2ppia----i:дадите|-suppfn-si:дана|2spia----i:дашъ,даси|-suppnn-si:дано,данѡ|-pppamn-si:дадуче,дадѹще,дадѹце|-pspamn-si:дали|-sspafn-si:дала|-puppmn-si:даны|-sppamn-si:дада|-sppamn-wi:дадыи|1ppia----i:дадимъ|-suppmd-wi:дав꙽шемѹ|-puppfn-si:даны|1paia----i:дахомъ|-supafn-si:давши|-pppamd-wi:дадущимъ|-sppamd-si:дадущю,дадучю|-pupamn-si:давше
имъ;и;Pp;3p---md--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---ml--i:нихъ,нихʼ,них҃|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3p---fa--i:нѣ|3s---na--i:е же|3p---mg--i:нихъ,нїхъ,нихʼ|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---fg--i:нихъ|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3p---fl--i:нихъ|3p---fi--i:ними|3p---nl--i:нихъ|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---ni--i:ими|3s---nd--i:емѹ
дани;дань;Nb;-s---fg--i;-s---fa--i:дань|-s---fn--i:дань|-s---fi--i:данью,данию|-p---fg--i:данеи|-p---fi--i:дан꙽ми,даньми
123756
и;и;C-;---------n;no distractor
почаша;почати;V-;3paia----i;1ppia----i:Почнемъ|-pspamn-si:почали|3saia----i:Поча,поча,поцѧ,почѧ|3spia----i:почьнеть|-sspamn-si:почалъ,почѧлъ|2spia----i:поцьньши|--pna----i:почнет|3daia----i:почаста,почѧста|1saia----i:почаяхъ|-suppfn-si:Почата|-suppna-wi:початое|-suppfn-wi:початаѧ|-puppmn-wi:початые|-supamn-si:поченъ|1spia----i:почну|3ppia----i:почнутъ
