1711536;въ;въ;R-;---------n;no distractor
1711537;лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃
1711538;҂ѕ҃;шесть тысячь;Ma;---------n;no distractor
1711539;т҃;трисъта;Ma;---------n;no distractor
1711540;ѯ҃;шестьдесятъ;Ma;---------n;no distractor
1711541;з҃;седмь;Ma;---------n;no distractor
1711542;маху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли
1711543;дань;дань;Nb;-s---fa--i;-s---fg--i:дани|-p---fa--i:дани|-s---fd--i:дани|-s---fi--i:данью,данию|-p---fn--i:дани|-p---fg--i:данеи|-d---fn--i:дани|-p---fi--i:дан꙽ми,даньми
1711544;варѧзи;варягъ;Nb;-p---mn--i;-p---mg--i:варѧгъ|-p---ma--i:варѧги,вариги,варѧгы,вѧрѧгы|-p---md--i:варѧгомъ|-p---mi--i:варѧги,варѧгы|-d---mn--i:варѧга|-s---mn--i:варѧгъ|-d---ma--i:варѧга,варꙗга
1711545;изъ;из;R-;---------n;no distractor
1711546;заморья;заморие;Nb;-s---ng--i;no distractor
1711547;на;на;R-;---------n;no distractor
1711548;чюди;чудь;Ne;-s---fl--i;no distractor
1711549;и;и;C-;---------n;no distractor
1711550;на;на;R-;---------n;no distractor
1711551;словѣнех;словѣнинъ;Ne;-p---ml--i;no distractor
1711552;на;на;R-;---------n;no distractor
1711553;мери;меря;Ne;-s---fl--i;no distractor
1711554;и;и;C-;---------n;no distractor
1711555;на;на;R-;---------n;no distractor
