1711536;въ;въ;R-;---------n;no distractor;въ
1711537;лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃;лѣт,лѣто,лѣ,лтѣ,лето,лѣ҃т,лѣт҃
1711538;҂ѕ҃;шесть тысячь;Ma;---------n;no distractor;҂ѕ҃,҂з
1711539;т҃;трисъта;Ma;---------n;no distractor;т҃,т
1711540;ѯ҃;шестьдесятъ;Ma;---------n;no distractor;ѯ҃,кс
1711541;з҃;седмь;Ma;---------n;no distractor;з҃,з
1711542;маху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли;маху,имаху,емляху
1711543;дань;дань;Nb;-s---fa--i;-s---fg--i:дани|-p---fa--i:дани|-s---fd--i:дани|-s---fi--i:данью,данию|-p---fn--i:дани|-p---fg--i:данеи|-d---fn--i:дани|-p---fi--i:дан꙽ми,даньми;дань
1711544;варѧзи;варягъ;Nb;-p---mn--i;-p---mg--i:варѧгъ|-p---ma--i:варѧги,вариги,варѧгы,вѧрѧгы|-p---md--i:варѧгомъ|-p---mi--i:варѧги,варѧгы|-d---mn--i:варѧга|-s---mn--i:варѧгъ|-d---ma--i:варѧга,варꙗга;варѧзи,варязи
1711545;изъ;из;R-;---------n;no distractor;изъ
1711546;заморья;заморие;Nb;-s---ng--i;no distractor;заморья,заморьꙗ
1711547;на;на;R-;---------n;no distractor;на
1711548;чюди;чудь;Ne;-s---fl--i;no distractor;чюди
1711549;и;и;C-;---------n;no distractor;и
1711550;на;на;R-;---------n;no distractor;на
1711551;словѣнех;словѣнинъ;Ne;-p---ml--i;no distractor;словѣнех
1711552;на;на;R-;---------n;no distractor;на
1711553;мери;меря;Ne;-s---fl--i;no distractor;мери
1711554;и;и;C-;---------n;no distractor;и
1711555;на;на;R-;---------n;no distractor;на
1711556;всѣхъ;вьсь;Px;-p---ml--i;-p---ma--i:въсѧ,вьсꙗ,вьсѧ|-p---mn--i:вьси,в꙽си,вохи|-s---fd--i:вьсеи,все и|-p---na--i:вьсѧ,вьсꙗ|-s---na--i:вьсе,вохо|-p---fn--i:вси,всѣ,все|-s---fa--i:вьсю,въсю|-s---nn--i:вьсе|-s---fn--i:вьсꙗ,вьсѧ,в[сѧ|-p---mi--i:вьсѣми|-p---fa--i:вьсꙗ,вьсѣ,вьсѧ|-s---ma--i:весь,вьсь,весъ,въсь|-p---md--i:вьсѣмъ|-s---ni--i:вьсѣмь|-s---mn--i:весь,вьсь|-s---nl--i:вьсемь|-p---fd--i:вьсѣмъ|-p---nn--i:вьсꙗ,вьсѧ|-s---mg--i:вьсего|-p---ni--i:всѣми|-s---ng--i:вьсего|-s---md--i:въсемѹ,всѣмоу,всемоу,Всемоу|-s---fg--i:вьсеꙗ|-s---fl--i:всеи,всѣи,всей|-s---fi--i:вьсею|-s---nd--i:всему,всѧмѹ,всемѹ,всѣмѹ,всемꙋ|-s---mi--i:всѣмъ|-s---ml--i:вьсемь|-p---nd--i:вьсѣмъ|-p---fi--i:вьсѣми;всѣхъ,всѣх,всхѣ
1711557;кривичѣхъ;кривичи;Ne;-p---ml--i;no distractor;кривичѣхъ
1711558;а;а;C-;---------n;no distractor;а
1711559;козари;козаре;Ne;-p---mn--i;no distractor;козари
1711560;имаху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли;маху,имаху,емляху
1711561;на;на;R-;---------n;no distractor;на
1711562;полѧнѣх;полянинъ;Ne;-p---ml--i;no distractor;полѧнѣх,полянѣх
1711563;и;и;C-;---------n;no distractor;и
1711564;на;на;R-;---------n;no distractor;на
1711565;сѣверѣх;сѣверянинъ;Ne;-p---ml--i;no distractor;сѣверѣх
1711566;и;и;C-;---------n;no distractor;и
1711567;на;на;R-;---------n;no distractor;на
1711568;вѧтичѣхъ;вятичи;Ne;-p---ml--i;no distractor;вѧтичѣхъ,вятичѣхъ
1711569;имаху;имати;V-;3piia----i;--pna----i:имати,ꙇмати,iмати|3paia----i:имаша|-sspamn-si:ималъ|-sppamn-si:емлѧ,ѥмлѧ|3spia----i:емлеть,емлетъ,ѥмлеть,ѥмльть|3siia----i:имашеть|2spia----i:имаши|3ppia----i:емлють млють|-pppamn-si:емьлюще|-sppamd-si:емлющю,ѥмлющю|1spia----i:емлю,ѥмлю|2ppia----i:имате|-pspamn-si:имали|2ppma----i:ѥмлите|2spma----i:емли;маху,имаху,емляху
1711570;по;по;R-;---------n;no distractor;по
1711571;бѣлѣ;бѣла;Nb;-s---fd--i;-s---fi--i:бѣлью|-s---fa--i:белѹ|-s---fg--i:беле;бѣлѣ
1711572;и;и;C-;---------n;no distractor;и
1711573;вѣверицѣ;вѣверица;Nb;-s---fd--i;no distractor;вѣверицѣ
1711574;ѿ;отъ;R-;---------n;no distractor;ѿ,от
1711575;дыма;дымъ;Nb;-s---mg--i;-s---mn--i:дымъ|-s---md--i:дыму|-s---ma--i:дымъ;дыма
1711576;въ;въ;R-;---------n;no distractor;въ
1711577;лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃;лѣт,лѣто,лѣ,лтѣ,лето,лѣ҃т,лѣт҃
1711578;҂ѕ҃;шесть тысячь;Ma;---------n;no distractor;҂ѕ҃,҂з
1711579;т҃;трисъта;Ma;---------n;no distractor;т҃,т
1711580;ѯ҃;шестьдесятъ;Ma;---------n;no distractor;ѯ҃,кс
1711581;и҃;осмь;Ma;---------n;no distractor;и҃,и
1711582;въ;въ;R-;---------n;no distractor;въ
1711583;лѣт;лѣто;Nb;-s---na--i;-s---ni--i:лѣтомъ|-p---nl--i:лѣтѣхъ,лѣтех꙽|-d---nl--i:лѣту|-s---nd--i:лѣту,лѣт҃|-p---nd--i:лѣтомъ|-p---nn--i:лѣта|-p---ni--i:лѣты,леты|-d---na--i:лѣтѣ,лѣте,лѣт҃|-s---nn--i:лѣт҃;лѣт,лѣто,лѣ,лтѣ,лето,лѣ҃т,лѣт҃
1711584;҂ѕ҃;шесть тысячь;Ma;---------n;no distractor;҂ѕ҃,҂з
1711585;т҃;трисъта;Ma;---------n;no distractor;т҃,т
1711586;ѯ҃;шестьдесятъ;Ma;---------n;no distractor;ѯ҃,кс
1711587;ѳ҃;девять;Ma;---------n;no distractor;ѳ҃,ф
1711588;Изъгнаша;изгънати;V-;3paia----i;3ppia----i:ижденуть|3saia----i:игзнъа|-suppmn-si:изгнанъ|-sspamn-si:ꙇзгнал|-pspamn-si:ꙇзгнали|1spia----i:изъжденѹ;Изъгнаша,ꙇзгнаша,изгнаша,изъгнаша
1711589;варѧги;варягъ;Nb;-p---ma--i;-p---mn--i:варѧзи|-p---mg--i:варѧгъ|-p---md--i:варѧгомъ|-d---mn--i:варѧга|-s---mn--i:варѧгъ|-d---ma--i:варѧга,варꙗга;варѧги,вариги,варѧгы,вѧрѧгы,варяги,варягы,вярягы
1711590;за;за;R-;---------n;no distractor;за
1711591;море;море;Nb;-s---na--i;-s---ng--i:морїꙗ|-s---nd--i:морю|-s---ni--i:моремъ,моремь|-p---ng--i:морь|-p---na--i:морѧ|-s---ma--i:мъре;море,морѧ,морѣ,моря
1711592;и;и;C-;---------n;no distractor;и
1711593;не;не;Df;---------n;no distractor;не
1711594;даша;дати;V-;3paia----i;3siia----i:дадѧшеть|3saia----i:дастъ,дасть|3spia----i:дасть,дастъ|3ppia----i:дадоуть|-sspamn-si:далъ|1spia----i:дамъ,дамь|2ppma----i:дадите|1saia----i:дахъ|--pna----i:да[т]и|2spma----i:даждь|3piia----i:дадѧху|3spma----i:дажь|1dpia----i:давѣ|-supamn-si:давъ|-supamg-wi:давъшаго,дав꙽шаго|2ppia----i:дадите|-suppfn-si:дана|2spia----i:дашъ,даси|-suppnn-si:дано,данѡ|-pppamn-si:дадуче,дадѹще,дадѹце|-pspamn-si:дали|-sspafn-si:дала|-puppmn-si:даны|-sppamn-si:дада|-sppamn-wi:дадыи|1ppia----i:дадимъ|-suppmd-wi:дав꙽шемѹ|-puppfn-si:даны|1paia----i:дахомъ|-supafn-si:давши|-pppamd-wi:дадущимъ|-sppamd-si:дадущю,дадучю|-pupamn-si:давше;даша
1711595;имъ;и;Pp;3p---md--i;3s---mg--i:него,нѣго,нево,негѡ,нѣво,нѥго,ѥ]го|3p---ml--i:нихъ,нихʼ,них҃|3s---ma--i:нь,не,и҃|3s---md--i:емоу,нему,нѣму,немѹ,нѥмѹ,немȣ,нѥмо,немꙋ,ѥмоу,нѣмѹ,нѣмꙋ|3p---fa--i:нѣ|3s---na--i:е же|3p---mg--i:нихъ,нїхъ,нихʼ|3p---ma--i:ихъ|3s---fl--i:неи,ней,нѥи,нѣи|3s---fi--i:нею,нѣю,нѥю|3p---mi--i:ними.|3p---fg--i:нихъ|3p---ng--i:ихъ|3d---ma--i:нѧ|3d---md--i:нима|3s---ng--i:него|3s---fg--i:нея,неꙗ,неѣ,нее,нѥꙗ,неи|3s---fa--i:ню|3s---fd--i:неи,нѥи|3s---ml--i:немь,немъ,нѣмь,нѣмъ,ньмь,нѥмь,немʼ,нем҃|3d---mi--i:нима|3d---mg--i:нее,нею|3p---fl--i:нихъ|3p---fi--i:ними|3p---nl--i:нихъ|3p---na--i:ѧ,ꙗ|3s---nl--i:немъ,немь,нѥмь|3p---ni--i:ими|3s---nd--i:емѹ;имъ,нимъ,имь,им же,ним,им,ιмъ,ꙇмъ,iмъ,ним҃,имже
1711596;дани;дань;Nb;-s---fg--i;-s---fa--i:дань|-s---fn--i:дань|-s---fi--i:данью,данию|-p---fg--i:данеи|-p---fi--i:дан꙽ми,даньми;дани
1711597;и;и;C-;---------n;no distractor;и
